№,Name,Description,Price,Image Url
43,Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 8/256GB черный,"

Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 8/256GB черный

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 732G; память 8/256GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 13; GSM 4G            ",25050 сом,/images/product/119861/1680860444_08696300.jpg
44,Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 8/256GB голубой,"

Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 8/256GB голубой

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 732G; память 8/256GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 13; GSM 4G            ",25050 сом,/images/product/119862/1680860526_68215800.jpg
45,Сотовый телефон Samsung Galaxy S23 8/128GB кремовый,"

Сотовый телефон Samsung Galaxy S23 8/128GB кремовый

        6.1"" OLED 2340x1080 ~120Гц; Qualcomm Snapdragon 8 G2; память 8/128GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",58760 сом,/images/product/119607/1680532075_44649100.jpg
46,Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 8/256GB белый,"

Сотовый телефон Xiaomi Redmi Note 12 Pro 4G 8/256GB белый

        6.67"" AMOLED 2400х1080~120Гц; Qualcomm Snapdragon 732G; память 8/256GB; основная камера 108+8+2+2 mpx; фронтальная 16 mpx; аккумулятор 5000 мАч; быстрая зарядка 67 Вт; Android 13; GSM 4G            ",25050 сом,/images/product/119863/1680860615_42138600.jpg
47,Сотовый телефон Samsung Galaxy S23 8/128GB зеленый,"

Сотовый телефон Samsung Galaxy S23 8/128GB зеленый

        6.1"" OLED 2340x1080 ~120Гц; Qualcomm Snapdragon 8 G2; память 8/128GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",58760 сом,/images/product/119608/1680532160_25501200.jpg
48,Сотовый телефон Samsung Galaxy S23 8/128GB лавандовый,"

Сотовый телефон Samsung Galaxy S23 8/128GB лавандовый

        6.1"" OLED 2340x1080 ~120Гц; Qualcomm Snapdragon 8 G2; память 8/128GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",58760 сом,/images/product/119609/1680532284_32300500.jpg
49,Сотовый телефон Samsung Galaxy S23 8/128GB графит,"

Сотовый телефон Samsung Galaxy S23 8/128GB графит

        6.1"" OLED 2340x1080 ~120Гц; Qualcomm Snapdragon 8 G2; память 8/128GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",58760 сом,/images/product/119610/1680532350_83602500.jpg
50,Сотовый телефон Samsung Galaxy S23 8/128GB лайм,"

Сотовый телефон Samsung Galaxy S23 8/128GB лайм

        6.1"" OLED 2340x1080 ~120Гц; Qualcomm Snapdragon 8 G2; память 8/128GB; основная камера 50+10+12 mpx (OIS); фронтальная 12 mpx; аккумулятор 3900 мАч; быстрая зарядка 25 Вт; Android 13; GSM 5G            ",58760 сом,/images/product/119611/1680532432_62256300.jpg
51,Сотовый телефон Samsung Galaxy A73 5G 8/128GB серый,"

Сотовый телефон Samsung Galaxy A73 5G 8/128GB серый

        6.7"" OLED 2400x1080 ~120Гц; процессор Snapdragon 778G; память 8/128 GB; основная камера 108+12+5+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",31350 сом,/images/product/107071/1653798204_78028800.jpg
52,Сотовый телефон Samsung Galaxy A73 5G 8/128GB мятный,"

Сотовый телефон Samsung Galaxy A73 5G 8/128GB мятный

        6.7"" OLED 2400x1080 ~120Гц; процессор Snapdragon 778G; память 8/128 GB; основная камера 108+12+5+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",31350 сом,/images/product/107072/1653798236_82254000.jpg
